time,ax,ay,az,gx,gy,gz
340220,1.31,3.0,-0.44,-20.27,-166.2,-170.21
340232,1.63,2.62,-0.4,-32.47,-127.54,-181.73
340244,1.74,2.69,-0.03,-25.33,-153.63,-176.12
340256,1.66,2.89,0.19,-17.59,-208.63,-146.0
340268,1.52,2.61,-0.08,-20.88,-235.1,-61.49
340280,1.95,2.29,-0.39,-25.27,-228.33,-1.79
340292,2.04,1.89,-0.29,-45.27,-186.74,26.2
340304,1.66,1.39,-0.02,-59.66,-164.73,21.68
340316,1.37,0.92,0.16,-61.0,-176.2,23.45
340328,1.27,0.52,0.17,-53.81,-195.65,39.06
340340,1.28,0.28,0.02,-53.81,-193.94,54.18
340352,1.24,0.11,-0.08,-68.38,-177.23,67.48
340364,1.17,-0.12,-0.09,-93.81,-158.88,69.98
340376,1.08,-0.41,-0.07,-110.82,-141.99,74.37
340388,0.96,-0.64,-0.01,-116.43,-135.1,73.51
340400,0.79,-0.84,-0.0,-103.81,-134.67,77.48
340412,0.64,-1.04,-0.04,-61.73,-134.67,80.1
340424,0.57,-1.06,-0.12,-47.65,-129.49,74.24
340436,0.49,-1.13,-0.19,-10.27,-114.12,80.77
340601,2.74,3.47,-1.21,61.62,207.46,223.88
340613,2.13,3.93,-0.48,67.6,87.52,193.45
340625,1.01,3.41,-0.42,79.73,56.85,195.16
340637,1.19,2.82,-0.19,99.36,29.72,221.2
340661,0.45,1.71,-0.03,80.4,120.21,145.46
340673,-0.05,1.12,0.24,91.62,195.57,142.84
340685,-0.45,0.92,0.28,107.11,250.33,116.74
340697,-0.67,0.68,0.21,115.16,316.06,111.87
340709,-0.93,0.48,-0.02,116.25,361.61,76.74
340721,-1.26,0.31,-0.28,111.19,368.5,39.79
340733,-1.66,0.22,-0.49,122.47,337.58,7.6
340745,-2.07,0.16,-0.57,125.77,270.82,-18.68
340757,-2.33,0.11,-0.5,133.02,173.13,-37.77
340769,-2.23,0.11,-0.41,132.17,76.18,-66.73
340781,-1.85,0.27,-0.33,127.17,16.67,-106.61
340793,-1.5,0.53,-0.29,108.82,1.79,-154.23
340805,-1.23,0.77,-0.32,78.08,3.32,-210.57
340817,-1.1,0.91,-0.37,57.47,-11.2,-260.94
340829,-1.07,1.07,-0.48,46.68,-58.21,-302.22
340841,-1.05,1.24,-0.62,39.73,-130.4,-318.5
340853,-0.97,1.45,-0.65,36.68,-220.77,-319.66
340865,-0.68,1.71,-0.54,30.64,-296.01,-307.4
340877,-0.12,1.91,-0.33,10.89,-326.44,-281.24
341040,1.16,0.55,0.03,-49.9,-162.78,28.09
341052,1.13,0.33,-0.03,-55.03,-153.27,36.44
341064,1.07,0.11,-0.08,-72.83,-133.21,38.94
341076,1.0,-0.16,-0.1,-100.03,-113.57,38.94
341100,0.89,-0.74,-0.04,-136.06,-82.23,49.61
341112,0.81,-0.96,-0.21,-121.92,-69.24,44.67
341124,0.67,-1.23,-0.21,-78.01,-56.01,39.31
341136,0.57,-1.19,-0.29,-55.45,-49.12,36.26
341148,0.45,-1.14,-0.36,-21.67,-49.12,35.71
341160,0.43,-1.14,-0.37,1.25,-58.7,35.4
341172,0.52,-1.15,-0.34,31.86,-68.63,39.31
341184,0.68,-1.04,-0.29,62.17,-70.59,42.23
341196,1.02,-0.89,-0.23,89.43,-44.12,45.16
341208,1.4,-0.66,-0.26,120.64,9.6,53.02
341220,1.61,-0.3,-0.39,142.9,73.99,67.66
341232,1.66,0.07,-0.49,152.66,126.18,95.52
341244,1.68,0.38,-0.55,162.41,157.65,132.66
341256,1.76,0.71,-0.57,172.78,161.73,175.59
341268,1.87,1.14,-0.51,193.94,149.35,201.5
341280,2.17,2.13,-0.41,209.49,132.58,190.95
341292,2.83,3.67,-0.75,161.62,153.8,170.16
341304,3.33,3.65,-1.04,145.16,215.76,138.09
341316,2.63,3.26,-1.23,133.82,233.01,131.68
341478,-1.06,0.36,-0.18,148.82,178.01,80.28
341490,-1.02,0.34,-0.26,143.33,142.28,92.11
341502,-0.81,0.35,-0.12,135.28,126.43,83.76
341514,-0.65,0.56,0.12,123.63,128.56,73.39
341538,-0.54,0.98,0.23,31.86,131.61,4.61
341550,-0.25,0.86,0.1,5.58,112.46,-39.78
341562,-0.22,0.81,0.01,-5.03,65.21,-80.82
341574,-0.37,1.36,0.4,-52.47,-27.54,-93.99
341586,-0.17,1.41,0.44,-99.78,-78.09,-77.46
341598,-0.07,1.16,0.63,-142.77,-84.18,-55.39
341610,-0.05,1.18,0.62,-153.62,-88.33,-51.55
341622,0.42,1.3,0.31,-138.01,-64.85,-62.52
341634,1.03,1.08,0.48,-138.75,-80.22,-98.5
341646,1.68,0.85,0.76,-81.73,-161.07,-108.44
341658,2.1,1.03,0.78,-39.66,-216.93,-121.24
341670,2.45,1.63,0.65,-23.87,-180.22,-127.83
341682,2.51,1.94,0.59,-63.44,-92.42,-105.27
341694,2.46,1.67,0.61,-104.72,-36.62,-83.99
341706,2.17,1.4,0.68,-131.79,-19.85,-66.73
341718,1.57,1.1,0.71,-147.22,-42.05,-53.07
341730,1.25,0.68,0.56,-142.65,-80.46,-40.51
341742,1.09,0.31,0.42,-127.53,-101.56,-19.78
341754,0.99,0.15,0.22,-121.55,-99.18,-12.1
341917,0.25,-0.59,-0.11,70.83,7.77,64.31
341929,0.5,-0.61,-0.01,77.9,25.33,83.33
341941,0.92,-0.61,0.1,100.46,34.17,99.37
341953,1.34,-0.48,0.22,132.66,45.45,112.48
341977,2.27,-0.01,0.71,186.68,57.28,134.0
341989,3.51,0.26,1.29,263.14,70.57,96.74
342001,4.11,1.15,1.22,309.12,67.34,75.52
342013,4.14,2.4,0.82,251.19,49.78,72.72
342025,4.18,3.3,0.46,147.47,89.35,89.67
342037,3.43,2.63,0.44,82.9,145.63,96.87
342049,2.26,2.06,0.47,57.17,135.08,106.68
342061,1.59,1.78,0.42,58.14,81.06,118.82
342073,1.1,1.52,0.33,58.57,32.58,126.56
342085,0.7,1.21,0.25,59.3,-9.37,125.16
342097,0.34,1.02,0.2,62.35,-40.04,129.85
342109,0.17,0.8,0.06,68.02,-34.31,127.6
342121,-0.03,0.7,0.05,63.33,-21.38,123.33
342133,-0.36,0.63,0.09,48.63,-4.18,101.32
342145,-0.67,0.5,0.08,26.99,11.0,81.68
342157,-0.9,0.31,0.03,12.9,17.34,61.87
342169,-1.18,0.17,-0.04,3.27,8.99,40.04
342181,-1.44,0.06,-0.16,-7.34,-13.45,16.81
342193,-1.55,-0.05,-0.16,-1.31,-40.53,-12.95
342351,2.65,3.54,0.15,-38.99,-209.18,-310.33
342363,3.05,3.7,0.43,-43.26,-255.77,-271.49
342375,2.89,3.53,0.61,-17.65,-274.06,-222.46
342387,3.06,3.23,0.26,-24.54,-248.63,-125.69
342411,2.59,2.16,0.03,-105.76,-94.67,-41.85
342423,1.77,1.55,0.13,-129.17,-70.53,-41.55
342435,1.3,1.02,0.24,-118.99,-88.09,-35.94
342447,1.09,0.58,0.24,-92.53,-115.95,-35.57
342459,1.02,0.43,0.23,-95.7,-128.88,-18.93
342471,0.94,0.19,0.17,-93.62,-122.9,-16.37
342483,0.89,0.05,0.06,-110.57,-108.27,-19.54
342495,0.79,-0.16,0.04,-131.61,-94.73,-21.43
342507,0.7,-0.39,0.04,-145.21,-86.38,-24.72
342519,0.63,-0.62,0.04,-149.23,-79.79,-23.44
342531,0.55,-0.83,0.04,-140.51,-72.78,-19.78
342543,0.45,-0.95,0.08,-118.07,-66.26,-18.56
342555,0.36,-1.0,0.1,-95.27,-60.4,-18.93
342567,0.31,-0.92,0.05,-77.04,-54.61,-18.74
342579,0.33,-0.85,-0.03,-68.32,-53.33,-11.91
342591,0.4,-0.88,-0.09,-63.2,-50.46,0.77
342603,0.46,-1.05,-0.14,-40.82,-41.32,13.51
342615,0.53,-1.11,-0.09,-20.51,-32.29,24.31
342627,0.64,-1.13,-0.03,17.9,-16.5,39.85
342790,2.23,2.72,-0.52,118.33,79.6,306.62
342802,1.55,2.33,-0.39,110.83,79.78,297.29
342814,1.15,1.86,-0.23,119.0,85.39,293.27
342826,0.77,1.67,-0.25,127.96,94.72,299.18
342850,0.11,1.38,-0.3,140.83,111.24,272.17
342862,-0.19,1.19,-0.32,140.34,119.6,252.23
342874,-0.51,0.99,-0.32,138.75,127.77,226.56
342886,-0.81,0.82,-0.25,135.52,133.44,204.91
342898,-1.04,0.73,-0.16,140.16,128.93,190.59
342910,-1.17,0.7,-0.12,147.78,115.45,173.94
342922,-1.25,0.69,-0.14,155.46,104.35,154.43
342934,-1.32,0.63,-0.15,152.96,97.71,119.12
342946,-1.44,0.62,-0.15,139.73,98.93,91.56
342958,-1.52,0.61,-0.13,117.35,99.23,61.74
342970,-1.48,0.62,-0.13,88.14,95.82,26.01
342982,-1.38,0.63,-0.16,58.39,89.05,-17.1
342994,-1.27,0.65,-0.22,36.93,64.78,-67.1
343006,-1.19,0.68,-0.29,26.56,23.13,-119.6
343018,-1.11,0.73,-0.37,19.43,-28.39,-162.28
343030,-0.97,0.76,-0.41,10.4,-76.5,-187.77
343042,-0.7,0.81,-0.31,9.36,-102.23,-196.67
343054,-0.5,1.02,-0.11,-4.17,-106.44,-202.77
343066,-0.05,1.41,0.2,-5.64,-106.56,-216.3
343229,1.38,-0.12,0.5,-12.65,9.29,-55.94
343242,1.27,-0.27,0.51,-20.7,16.79,-51.24
343253,1.14,-0.36,0.45,-29.17,25.94,-46.85
343265,1.03,-0.44,0.39,-35.82,35.94,-38.01
343289,0.72,-0.61,0.31,-48.07,38.26,-8.26
343301,0.57,-0.72,0.26,-51.79,26.85,6.38
343313,0.45,-0.81,0.21,-46.31,11.37,20.4
343325,0.41,-0.84,0.16,-36.61,-3.21,34.91
343337,0.41,-0.86,0.1,-29.23,-13.03,49.12
343349,0.43,-0.93,0.01,-15.33,-12.84,64.98
343361,0.41,-0.96,-0.06,-2.47,-5.53,77.66
343373,0.46,-1.0,-0.11,15.16,10.33,87.17
343385,0.48,-0.98,-0.16,37.78,27.83,94.79
343397,0.51,-0.88,-0.2,52.66,39.9,106.13
343409,0.68,-0.93,-0.31,84.85,53.19,103.57
343421,0.87,-0.85,-0.43,122.66,68.87,113.21
343433,1.13,-0.67,-0.51,164.12,81.18,114.43
343445,1.47,-0.43,-0.5,211.62,99.29,106.5
343457,2.15,-0.12,-0.36,274.36,124.41,77.05
343469,3.21,0.53,-0.13,362.78,128.93,49.49
343481,3.94,1.93,-0.32,342.6,90.33,56.56
343493,4.36,3.18,-0.85,207.41,103.68,65.52
343505,4.74,2.79,-0.98,184.73,174.17,83.94
343665,-0.39,0.57,-0.24,113.75,80.33,137.54
343677,-0.51,0.56,-0.15,115.95,92.77,127.11
343689,-0.68,0.52,-0.15,113.14,100.21,113.45
343701,-0.81,0.47,-0.21,104.43,106.43,103.02
343725,-0.91,0.43,-0.28,87.96,101.85,67.54
343737,-0.79,0.48,-0.31,82.35,82.22,39.55
343749,-0.54,0.5,-0.34,82.9,72.22,6.87
343761,-0.36,0.57,-0.23,75.58,70.69,-26.3
343773,-0.15,0.66,-0.0,65.46,72.89,-49.05
343785,0.04,0.84,0.14,49.49,70.69,-58.74
343797,0.41,0.99,0.2,28.21,61.06,-57.89
343809,0.82,0.95,0.39,18.14,30.94,-68.38
343821,1.2,0.78,0.82,26.19,-33.94,-92.59
343833,1.68,0.7,1.15,59.55,-105.22,-112.77
343845,2.09,1.02,1.19,82.78,-125.53,-111.49
343857,2.34,1.43,1.08,66.62,-94.67,-87.77
343869,2.44,1.47,0.96,25.95,-48.09,-61.91
