time,ax,ay,az,gx,gy,gz
155026,0.16,0.85,0.2,3.45,-166.26,-2.4
155038,0.15,0.8,0.26,3.08,-165.77,-3.01
155050,0.1,0.81,0.33,5.64,-172.29,-9.66
155062,0.08,0.91,0.33,8.88,-185.53,-13.13
155074,0.16,1.03,0.22,16.93,-208.15,-20.63
155086,0.2,1.19,0.09,17.6,-221.44,-14.54
155098,0.17,1.15,0.07,13.39,-228.15,-5.51
155110,0.14,1.14,0.16,17.6,-240.1,-9.11
155122,0.1,1.23,0.09,21.44,-254.31,-0.09
155134,0.15,1.23,0.14,22.35,-262.66,2.41
155146,0.29,1.22,0.21,26.86,-267.23,-1.43
155158,0.44,1.21,0.21,24.55,-260.65,-3.5
155170,0.62,1.09,0.14,15.95,-234.06,-7.46
155182,0.75,0.98,0.09,7.23,-189.73,-8.19
155194,0.99,0.93,-0.03,2.72,-119.12,-11.61
155206,1.08,1.05,0.01,-8.87,-30.16,-5.63
155218,0.74,1.2,0.18,-29.17,38.13,2.35
155230,0.35,1.15,0.16,-46.06,75.33,9.73
155242,0.17,1.03,0.22,-50.88,91.24,16.44
155399,0.06,0.75,0.46,-60.82,-76.68,48.39
155411,0.15,0.73,0.35,-58.07,-92.84,46.93
155423,0.22,0.68,0.29,-49.78,-108.21,37.9
155435,0.28,0.69,0.29,-42.65,-121.26,25.89
155459,0.22,0.85,0.56,-42.28,-129.31,35.34
155471,0.34,0.73,0.54,-29.05,-135.4,21.5
155483,0.48,0.72,0.47,-27.59,-136.01,21.5
155495,0.54,0.78,0.42,-29.42,-134.31,14.18
155507,0.53,0.83,0.44,-32.95,-130.46,10.65
155519,0.54,0.86,0.45,-36.06,-124.61,13.63
155531,0.63,0.88,0.42,-37.34,-116.56,16.38
155543,0.64,0.95,0.46,-41.43,-105.83,17.66
155555,0.6,1.04,0.47,-41.86,-103.03,19.43
155567,0.62,1.18,0.41,-41.43,-104.24,21.26
155579,0.67,1.26,0.34,-42.83,-108.03,19.98
155591,0.67,1.18,0.24,-46.92,-114.31,18.94
155603,0.69,1.05,0.18,-46.79,-125.1,18.82
155615,0.72,0.96,0.2,-43.87,-134.12,20.83
155627,0.82,0.84,0.24,-36.25,-134.12,22.05
155639,0.91,0.8,0.25,-29.84,-118.21,26.07
155651,0.91,0.76,0.26,-27.4,-95.22,29.37
155663,0.88,0.73,0.26,-25.33,-72.17,33.88
155675,0.85,0.69,0.23,-21.0,-50.28,37.72
155835,0.51,0.57,0.31,1.56,-7.35,6.44
155847,0.51,0.52,0.34,3.75,-4.92,6.26
155859,0.51,0.49,0.29,4.24,2.71,5.83
155871,0.49,0.48,0.2,1.32,12.4,6.26
155883,0.55,0.45,0.17,-3.75,26.3,8.88
155907,0.6,0.43,0.25,-18.38,51.73,5.34
155919,0.59,0.42,0.28,-19.11,50.94,3.39
155931,0.56,0.44,0.3,-18.44,44.35,-0.02
155943,0.55,0.44,0.32,-15.7,34.54,-2.52
155955,0.52,0.51,0.3,-17.71,23.56,-3.74
