time,ax,ay,az,gx,gy,gz
189447,0.19,1.29,-0.13,-140.82,-130.65,-88.32
189459,0.29,1.11,-0.23,-134.78,-150.83,-79.9
189471,0.44,0.95,-0.32,-137.71,-166.32,-74.72
189483,0.7,0.74,-0.42,-134.05,-163.09,-58.56
189495,0.94,0.56,-0.44,-134.48,-137.48,-44.54
189507,1.02,0.4,-0.46,-136.61,-97.42,-33.56
189519,0.95,0.26,-0.44,-133.26,-57.96,-24.78
189531,0.89,0.2,-0.44,-119.9,-24.85,-8.19
189543,0.97,0.1,-0.46,-95.15,2.58,-12.77
189555,0.97,0.12,-0.44,-72.4,17.22,-3.26
189567,0.96,0.2,-0.48,-59.84,17.89,-1.85
189579,0.97,0.18,-0.5,-46.31,14.47,6.07
189591,1.01,0.14,-0.44,-30.64,13.93,17.54
189603,1.08,0.13,-0.4,-16.06,20.57,23.57
189615,1.16,0.21,-0.35,-7.53,30.51,32.48
189627,1.22,0.27,-0.29,-0.03,39.05,41.68
189639,1.29,0.33,-0.22,10.71,46.61,51.56
189651,1.3,0.41,-0.15,22.41,58.62,60.1
189663,1.32,0.53,-0.06,31.07,71.37,73.27
189825,0.59,1.26,0.38,17.35,80.33,108.45
189837,0.6,1.2,0.38,22.72,70.69,105.46
189849,0.6,1.18,0.32,23.88,84.6,100.16
189861,0.44,1.08,0.3,25.95,106.79,94.18
189885,0.1,0.76,0.3,52.11,122.83,84.98
189897,0.06,0.66,0.35,69.43,121.24,80.16
189909,0.05,0.55,0.29,82.29,128.8,73.82
189921,0.02,0.46,0.16,85.89,143.5,67.66
189933,-0.04,0.3,0.15,88.94,156.12,65.83
189945,-0.06,0.28,0.24,85.28,152.89,59.98
189957,0.03,0.25,0.28,76.32,153.01,55.65
189969,-0.02,0.16,0.36,68.88,148.38,51.87
189981,-0.07,0.11,0.34,65.77,135.45,45.28
189993,-0.04,0.08,0.34,61.62,125.33,46.56
190005,0.04,0.08,0.39,58.94,110.08,48.57
190017,0.19,0.08,0.29,58.45,105.51,45.46
190029,0.05,0.4,0.41,42.05,95.21,32.78
190041,-0.1,0.25,0.69,33.51,68.93,30.34
190053,0.08,0.36,0.75,28.33,45.82,20.59
190065,0.19,0.39,0.75,21.5,35.27,16.07
190077,0.25,0.46,0.75,19.97,21.79,7.17
190089,0.28,0.52,0.72,16.19,10.76,-1.0
190101,0.37,0.54,0.65,12.84,-2.35,-3.93
190257,-0.98,1.7,-0.36,77.17,-326.68,-289.96
190269,-0.5,2.03,-0.21,84.3,-322.6,-309.17
190281,-0.03,2.41,-0.15,67.72,-252.9,-324.17
190293,-0.12,2.51,-0.05,48.82,-175.34,-332.52
190317,-0.15,2.95,-0.4,56.93,-124.85,-328.68
190329,0.05,3.04,-0.39,63.82,-123.39,-314.41
190341,0.25,3.14,-0.29,71.74,-123.45,-306.91
190353,0.51,3.07,-0.15,70.95,-111.81,-293.01
190365,0.61,2.89,-0.08,67.66,-108.03,-276.18
190377,0.64,2.7,0.01,70.28,-128.76,-256.61
190389,0.71,2.56,0.05,76.01,-166.81,-234.35
190401,0.86,2.42,-0.02,75.58,-201.44,-208.44
190413,1.07,2.22,-0.07,73.75,-226.81,-182.83
190425,1.31,1.98,-0.02,66.74,-231.81,-156.06
190437,1.46,1.6,0.12,56.44,-219.43,-128.68
190449,1.49,1.25,0.19,43.14,-204.0,-102.46
190461,1.51,0.89,0.2,31.5,-181.81,-75.33
190473,1.57,0.54,0.07,16.44,-157.72,-47.46
190485,1.7,0.14,0.06,4.43,-135.4,-26.18
190497,1.71,-0.2,0.31,-2.53,-124.0,-15.15
190509,1.66,-0.46,0.49,-2.83,-122.6,-6.18
190521,1.65,-0.66,0.53,-0.64,-123.21,9.49
190533,1.68,-0.69,0.46,-2.16,-122.72,36.56
