time,ax,ay,az,gx,gy,gz
492519,0.4,0.53,0.3,-10.94,30.94,17.9
492531,0.43,0.53,0.33,-14.42,22.77,19.79
492543,0.52,0.56,0.36,-12.53,13.99,20.77
492555,0.55,0.6,0.39,-10.76,5.15,19.18
492567,0.58,0.62,0.4,-9.17,-4.06,17.48
492579,0.61,0.61,0.38,-6.61,-10.89,16.62
492591,0.64,0.62,0.4,-3.32,-18.7,17.17
492603,0.66,0.66,0.34,2.05,-26.62,15.34
492615,0.75,0.74,0.39,20.52,-32.29,7.78
492627,0.92,0.95,0.68,45.03,-37.6,-5.76
492639,1.04,1.17,0.84,46.93,-43.63,-14.78
492651,1.06,1.08,0.83,37.29,-42.11,-13.62
492663,1.0,0.9,0.8,37.84,-36.93,-5.94
492675,0.84,0.92,0.74,41.62,-32.42,13.51
492687,0.81,1.0,0.63,35.64,-22.17,36.87
492699,0.85,0.98,0.55,21.99,-4.67,53.57
492711,0.81,0.88,0.52,16.01,3.87,67.17
492723,0.79,0.76,0.54,20.83,-3.03,68.51
492878,0.53,0.41,0.4,64.43,86.18,98.63
492890,0.56,0.45,0.4,63.94,96.37,100.1
492902,0.56,0.47,0.39,65.16,104.96,102.96
492914,0.52,0.49,0.39,64.85,109.41,105.16
492938,0.52,0.54,0.33,66.93,108.62,109.49
492950,0.56,0.57,0.32,65.16,106.91,111.5
492962,0.63,0.57,0.27,65.03,115.69,104.98
492974,0.45,0.77,0.49,49.55,109.54,91.32
492986,0.4,0.59,0.63,52.66,91.43,82.72
492998,0.41,0.58,0.71,74.79,67.1,69.73
493010,0.55,0.78,0.8,89.85,26.18,60.65
493022,1.0,0.9,0.7,102.84,18.62,53.15
493034,1.38,1.07,0.68,96.86,48.74,42.78
493046,1.39,1.1,0.51,77.66,100.51,36.2
493058,1.04,0.88,0.53,62.35,121.37,44.98
493070,0.86,0.69,0.5,74.67,108.56,56.01
493082,0.81,0.68,0.42,80.03,91.18,66.56
493094,0.76,0.62,0.39,80.83,74.72,80.34
493106,0.76,0.56,0.39,81.93,61.55,85.28
493118,0.78,0.58,0.43,78.88,57.4,87.05
493130,0.79,0.53,0.46,69.73,66.55,85.59
493142,0.71,0.43,0.48,65.52,77.22,83.51
493154,0.6,0.35,0.45,68.57,77.83,80.16
493310,0.5,0.64,0.56,37.53,61.49,40.83
493322,0.5,0.66,0.6,31.19,59.54,39.18
493334,0.53,0.68,0.62,28.88,58.5,36.07
493346,0.53,0.71,0.68,26.44,57.28,31.5
493358,0.53,0.73,0.72,24.91,54.17,24.61
493382,0.6,0.85,0.76,24.3,43.74,12.11
493394,0.66,0.98,0.85,25.22,36.73,0.46
493406,0.75,1.02,0.91,28.14,26.85,-9.41
493418,0.81,1.0,0.92,30.77,15.51,-14.96
493430,0.79,0.98,0.9,31.56,-0.34,-11.98
493442,0.77,0.99,0.88,30.64,-7.48,-8.68
493454,0.73,1.05,0.82,16.99,-1.68,-0.15
493466,0.66,0.99,0.78,-1.25,9.66,6.5
493478,0.58,0.87,0.76,-14.36,13.8,9.61
493490,0.53,0.76,0.74,-19.54,10.15,10.89
493502,0.48,0.69,0.69,-20.76,0.69,10.52
493514,0.48,0.64,0.63,-21.0,-7.35,12.41
493526,0.51,0.61,0.58,-23.5,-11.81,14.37
493538,0.54,0.55,0.52,-30.03,-10.28,19.0
493550,0.56,0.48,0.47,-35.94,-5.22,23.27
493562,0.5,0.4,0.45,-40.7,-0.4,28.33
493574,0.43,0.33,0.43,-41.55,-0.46,32.11
493586,0.39,0.27,0.38,-41.06,-3.21,35.46
493741,0.62,0.3,0.65,10.34,-66.68,25.65
493753,0.65,0.32,0.67,12.66,-63.15,25.83
493765,0.71,0.38,0.7,10.83,-54.43,26.62
493777,0.73,0.38,0.78,8.88,-41.44,28.57
493789,0.71,0.36,0.85,11.99,-32.9,29.43
493801,0.7,0.37,0.89,17.17,-27.05,29.31
493813,0.73,0.4,0.92,24.67,-21.01,26.2
493825,0.79,0.45,0.95,32.17,-9.12,23.15
493837,0.83,0.48,0.99,40.22,3.44,20.16
493849,0.9,0.51,1.04,49.97,12.58,18.63
493861,0.95,0.54,1.07,57.66,19.66,20.4
493873,0.96,0.53,1.15,71.62,23.13,18.57
493885,0.89,0.46,1.35,90.22,18.32,12.96
493897,1.09,0.44,1.31,106.25,20.94,1.93
493909,1.13,0.72,1.11,91.74,42.34,11.68
493921,0.95,0.67,0.94,71.8,50.08,14.49
493933,0.92,0.52,0.77,72.35,40.76,13.39
493945,1.0,0.53,0.64,65.71,50.82,19.91
493957,0.9,0.36,0.64,65.16,59.66,18.94
493969,0.79,0.26,0.63,69.67,57.16,14.79
493981,0.66,0.21,0.62,76.93,46.18,6.74
493993,0.55,0.17,0.62,79.67,28.13,-1.0
494005,0.56,0.15,0.64,83.69,19.84,-8.07
494017,0.59,0.22,0.72,74.3,26.43,-7.77
494171,0.42,0.31,0.39,-43.62,42.65,7.48
494183,0.44,0.43,0.32,-47.47,39.17,-5.02
494195,0.3,0.56,0.31,-52.65,29.66,-16.37
494207,0.2,0.6,0.27,-48.32,9.05,-35.69
