time,ax,ay,az,gx,gy,gz
578088,0.69,0.73,0.37,7.53,-0.04,-83.26
578100,0.66,0.7,0.34,2.78,15.63,-72.59
578112,0.61,0.7,0.32,-3.87,21.73,-62.77
578124,0.59,0.68,0.33,-5.7,18.5,-55.15
578136,0.6,0.68,0.34,-4.29,12.34,-49.66
578160,0.63,0.73,0.26,-8.99,5.88,-39.54
578172,0.61,0.74,0.21,-9.84,2.65,-35.02
578184,0.63,0.78,0.16,-7.89,1.97,-30.63
578196,0.7,0.81,0.11,-6.79,9.54,-32.77
578208,0.76,0.88,0.07,-9.6,23.93,-24.9
578220,0.79,0.93,0.05,-11.43,40.45,-27.95
578232,0.79,0.95,0.01,-13.81,58.8,-22.4
578244,0.77,0.98,-0.04,-14.78,72.77,-16.91
578256,0.73,1.06,-0.13,-8.56,81.43,-12.59
578268,0.68,1.23,-0.2,2.72,83.38,-9.17
578280,0.62,1.49,-0.25,13.02,81.67,-6.24
578292,0.6,1.75,-0.3,13.63,76.85,-3.5
578304,0.6,1.88,-0.28,6.8,75.27,1.56
578316,0.66,1.81,-0.24,1.25,82.58,6.68
578328,0.71,1.67,-0.26,4.73,94.23,10.16
578340,0.71,1.61,-0.31,9.79,112.65,15.22
578352,0.61,1.57,-0.33,8.02,126.91,25.71
578364,0.52,1.52,-0.33,6.19,135.82,42.23
578520,0.39,0.78,-0.34,122.29,-41.01,122.66
578532,0.41,0.86,-0.38,111.44,-35.28,128.7
578544,0.49,0.88,-0.43,82.05,-16.87,130.1
578556,0.57,0.82,-0.54,58.63,18.38,128.45
578580,0.28,0.73,-0.57,39.97,87.58,114.91
578592,0.22,0.77,-0.48,36.5,92.58,111.38
578604,0.16,0.8,-0.41,31.5,103.32,105.22
578616,0.08,0.77,-0.4,26.25,98.93,97.96
578628,0.1,0.75,-0.41,26.86,93.07,87.84
578640,0.09,0.79,-0.42,26.01,90.33,76.81
578652,0.08,0.81,-0.42,18.69,87.89,66.74
578664,0.12,0.82,-0.39,8.45,87.58,56.93
578676,0.16,0.82,-0.37,-0.94,91.06,46.62
578688,0.21,0.82,-0.36,-9.66,94.9,35.59
578700,0.29,0.83,-0.4,-16.61,105.82,24.06
578712,0.29,0.83,-0.44,-22.95,126.3,12.6
578724,0.23,0.85,-0.47,-28.81,144.23,2.96
578736,0.16,0.9,-0.49,-29.9,155.27,-8.32
578748,0.08,0.96,-0.52,-24.23,160.88,-23.74
578760,-0.02,1.07,-0.55,-14.9,163.13,-41.3
578772,0.01,1.14,-0.55,-16.86,165.21,-54.6
578784,0.05,1.06,-0.39,-27.95,165.63,-60.69
578796,0.25,0.9,-0.2,-26.73,172.52,-65.63
578956,0.76,0.33,-0.13,116.8,-3.15,103.02
578969,0.48,0.3,-0.15,124.18,-3.45,88.45
578980,0.39,0.26,-0.16,119.55,-11.01,76.68
578992,0.37,0.22,-0.14,118.21,-16.13,66.62
579016,0.52,0.31,-0.12,102.96,5.15,36.93
579028,0.59,0.36,-0.1,87.66,28.56,20.28
579040,0.62,0.36,-0.06,74.67,61.79,1.87
579052,0.57,0.38,-0.06,66.68,93.19,-20.09
579064,0.54,0.5,-0.04,58.88,124.41,-41.85
579076,0.46,0.56,-0.07,46.62,148.8,-61.18
579088,0.38,0.54,-0.1,37.72,163.93,-76.61
579100,0.34,0.54,-0.13,36.56,172.16,-92.71
579112,0.35,0.59,-0.13,37.78,180.69,-108.44
579124,0.36,0.66,-0.1,35.22,192.28,-121.24
579136,0.38,0.72,-0.09,29.43,205.63,-131.98
