time,ax,ay,az,gx,gy,gz
132343,0.05,0.23,0.21,-30.39,-42.96,-46.67
132355,0.17,0.34,0.27,-27.16,-38.39,-53.19
132367,0.23,0.43,0.37,-22.59,-38.51,-62.71
132379,0.25,0.51,0.42,-16.06,-44.49,-74.41
132403,0.36,0.68,0.53,-1.61,-68.03,-88.19
132415,0.44,0.74,0.61,2.6,-68.27,-89.29
132427,0.54,0.8,0.72,3.82,-56.68,-88.01
132439,0.6,0.84,0.79,4.61,-43.94,-86.73
132451,0.6,0.83,0.8,6.32,-38.7,-87.22
132463,0.63,0.8,0.74,10.89,-44.24,-89.17
132475,-1.2,-0.37,1.87,92.23,-282.48,-124.78
132487,3.42,1.71,0.35,60.58,-354.12,-73.26
132499,2.26,0.78,0.78,-61.49,6.73,-88.38
132511,0.3,0.01,1.06,-53.14,99.29,-83.38
132523,0.21,-0.04,1.51,-6.37,33.87,-93.74
132535,1.28,0.53,1.36,12.6,21.61,-103.32
132547,1.19,0.51,1.34,27.29,-5.95,-114.6
132559,1.36,0.65,1.24,34.06,-57.54,-108.93
132571,1.57,0.76,1.27,22.17,-70.77,-86.12
132583,1.68,0.93,1.41,-5.94,-47.11,-56.12
132595,1.73,0.93,1.49,-32.04,-15.59,-22.16
132607,1.77,0.84,1.42,-52.65,0.33,15.1
132619,1.7,0.73,1.25,-67.47,-1.93,49.98
132778,-0.17,1.17,-0.42,-107.65,12.52,55.77
132790,-0.3,1.1,-0.65,-85.51,-3.21,30.04
132802,-0.43,1.02,-0.78,-58.44,-6.2,8.51
132814,-0.6,1.11,-0.95,-26.55,3.07,-17.28
132838,-1.06,1.38,-1.26,55.89,33.62,-85.57
132850,-1.1,1.59,-1.35,106.5,49.47,-133.32
132862,-1.11,1.74,-1.37,164.91,45.69,-193.07
132874,-1.16,1.92,-1.36,222.35,15.76,-256.0
132886,-1.15,2.12,-1.22,270.28,-21.38,-309.48
132898,-0.99,2.43,-0.97,298.45,-36.5,-343.32
132910,-0.82,2.67,-0.63,308.08,-27.48,-359.54
132922,-0.52,2.89,-0.29,309.24,-8.82,-363.07
132934,-0.11,3.14,0.12,302.11,13.01,-360.57
132946,0.09,3.58,0.62,301.5,16.0,-362.77
132958,0.44,4.04,1.0,307.9,8.32,-368.74
132970,0.72,4.17,1.24,311.32,-10.95,-372.59
132982,0.98,3.96,1.51,298.02,-42.11,-348.87
132994,1.22,3.89,1.81,260.52,-93.09,-305.51
133006,1.3,3.77,1.75,202.78,-147.29,-243.13
133018,1.47,3.42,1.55,143.63,-192.42,-180.27
133030,1.58,2.97,1.6,102.78,-219.79,-130.57
133042,1.74,2.45,1.56,79.55,-222.29,-98.26
133054,1.82,1.77,1.57,73.21,-203.15,-87.77
133217,3.42,1.98,2.56,-181.98,-71.13,414.06
133229,3.23,2.94,2.85,-203.81,-46.93,467.11
133241,2.84,3.95,3.04,-225.7,-41.2,500.04
133253,2.31,4.88,3.1,-249.78,-43.51,524.98
133277,1.04,5.87,2.53,-274.6,-45.65,548.02
133289,0.38,5.67,1.9,-244.17,-26.56,522.29
133301,-0.66,5.08,0.85,-217.22,21.73,488.33
133313,-1.85,4.1,-0.36,-192.1,108.13,441.62
133325,-3.09,3.67,-1.64,-178.32,171.97,376.68
133337,-4.22,3.19,-2.68,-126.0,166.12,280.65
133349,-4.56,3.17,-3.35,-49.36,136.37,143.45
133361,-4.3,3.13,-3.6,56.32,54.96,-31.06
133373,-3.9,2.9,-3.41,143.27,-52.35,-189.48
133385,-3.22,2.9,-2.94,201.68,-119.55,-300.94
133397,-2.59,3.0,-2.16,232.53,-105.28,-369.05
133409,-1.73,3.19,-1.38,246.86,-40.28,-398.99
133421,-0.77,3.32,-0.77,265.4,14.17,-417.52
133433,0.06,3.54,-0.02,279.06,26.37,-423.74
133445,0.85,3.99,0.5,275.58,-8.88,-426.0
133457,1.73,4.33,1.08,261.99,-66.44,-419.6
133469,2.44,4.35,1.52,226.38,-144.06,-396.85
133481,3.25,3.93,1.72,172.29,-203.51,-352.83
133493,3.68,2.97,1.97,130.16,-232.66,-307.28
133657,2.22,-1.1,1.19,-92.34,-93.76,242.11
133669,2.1,-0.55,1.13,-88.5,-55.59,282.96
133681,2.04,0.07,1.12,-93.01,-45.34,321.74
133693,1.97,0.64,1.2,-101.92,-49.85,358.02
133717,2.23,1.59,2.1,-126.49,-1.99,395.34
133729,2.69,2.33,2.84,-143.14,31.43,380.1
133741,3.13,3.24,3.43,-175.64,25.76,349.79
133753,3.31,3.86,3.49,-218.81,-39.49,323.09
133765,3.45,3.58,3.83,-256.98,-121.81,308.57
133777,3.58,3.37,4.75,-311.49,-166.26,326.5
133789,3.54,3.75,4.96,-374.97,-162.05,356.2
133801,3.12,3.62,4.75,-421.12,-149.12,382.35
133813,2.9,3.54,4.98,-453.75,-159.67,410.71
133825,2.81,3.71,5.2,-480.27,-162.11,459.43
133837,2.69,4.04,5.29,-501.67,-116.44,518.02
133849,2.69,4.19,5.14,-534.42,-21.99,548.82
133861,2.28,4.1,4.84,-566.92,68.5,569.55
133873,1.97,4.02,4.39,-591.0,133.56,573.02
133885,1.75,4.08,3.92,-616.06,173.26,561.56
133897,1.47,4.33,2.88,-623.99,164.23,512.78
133909,1.12,3.46,1.74,-605.33,130.51,473.09
133921,0.85,2.62,1.37,-574.66,110.69,441.81
133933,0.95,2.19,1.04,-541.92,152.89,402.78
134096,0.92,1.96,-3.43,121.5,-87.6,25.34
134108,0.61,1.88,-3.35,198.21,-115.28,36.74
134120,0.33,1.67,-3.18,271.25,-149.37,35.28
134132,0.12,1.51,-2.81,333.02,-166.2,25.59
134156,0.22,1.33,-2.11,424.36,-165.65,-12.04
134168,0.47,1.5,-1.75,458.82,-159.24,-34.78
134180,0.74,1.69,-1.3,488.08,-162.05,-56.98
134192,1.14,2.04,-0.96,507.53,-145.89,-75.45
134204,1.29,2.5,-0.75,518.57,-111.93,-89.05
134216,1.32,2.83,-0.71,519.97,-73.63,-96.06
134228,1.01,3.52,-0.97,505.89,-51.99,-91.98
134240,0.89,3.84,-1.21,497.53,-42.11,-78.93
134252,0.74,4.34,-1.38,500.28,-35.71,-66.43
134264,0.5,4.61,-1.29,515.58,-56.44,-71.06
134276,0.19,5.03,-1.15,543.75,-77.23,-102.1
134288,-0.3,5.64,-0.96,564.67,-77.96,-118.62
134300,-0.93,6.22,-0.93,567.41,-105.53,-136.0
134312,-1.19,6.56,-0.86,577.05,-148.33,-132.52
134324,-0.97,7.18,-0.85,563.94,-195.71,-140.57
134336,-0.81,7.18,-0.07,548.63,-212.23,-165.09
134348,-0.98,7.06,1.04,537.66,-192.78,-203.07
134360,-1.16,7.02,2.07,542.41,-134.12,-238.87
134372,-1.57,7.09,3.12,546.68,-52.05,-275.45
134537,7.07,10.51,3.24,-906.0,-698.39,-248.62
134549,7.38,9.68,1.69,-934.48,-902.42,-137.95
134561,7.19,9.85,-0.48,-896.25,-1279.24,-2.1
134573,7.05,10.39,-4.59,-761.92,-1777.78,226.87
134597,4.06,10.93,-9.64,122.66,-2012.48,443.51
134609,0.77,12.68,-9.98,715.89,-1461.87,281.13
134621,-0.27,16.0,-9.74,1206.93,-776.32,217.41
134633,1.53,16.0,-8.58,1588.33,73.19,326.81
134645,3.54,16.0,-11.37,1777.66,894.9,427.29
134657,2.1,16.0,-16.0,1386.38,1614.11,583.39
134669,-10.81,16.0,-14.35,1212.84,1396.43,592.48
134681,-16.0,16.0,-9.64,1146.13,603.99,694.49
134693,-16.0,16.0,-9.61,1041.01,-316.14,801.44
134705,-4.31,16.0,-9.44,1060.71,-339.85,750.28
134717,-7.36,16.0,-11.51,1062.84,-251.5,538.09
134729,-6.58,16.0,-10.62,1319.73,-504.61,478.27
134741,-0.89,16.0,-9.9,1473.88,-268.76,380.16
134753,2.75,16.0,-8.49,1211.8,280.69,208.45
134765,1.74,16.0,-6.94,1028.08,725.76,241.62
134777,0.97,16.0,-5.71,915.64,1027.83,197.35
134789,-0.98,16.0,-4.63,738.14,1033.26,461.74
134801,-1.67,16.0,-2.54,617.47,751.06,571.99
