time,ax,ay,az,gx,gy,gz
209205,-1.96,0.2,-0.19,102.6,238.68,-148.56
209217,-2.03,0.35,-0.31,109.18,164.05,-193.62
209229,-1.97,0.64,-0.4,94.24,82.58,-225.33
209241,-1.72,0.99,-0.41,67.35,6.61,-238.5
209253,-1.29,1.37,-0.38,34.3,-49.92,-251.67
209265,-0.87,1.68,-0.4,-10.76,-94.55,-258.01
209277,-0.5,1.69,-0.34,-51.55,-132.6,-260.33
209289,-0.22,1.49,-0.25,-65.51,-160.53,-256.0
209301,-0.03,1.5,-0.13,-77.77,-178.51,-242.59
209313,0.26,1.4,0.03,-83.62,-184.31,-216.3
209325,0.69,1.32,0.18,-77.65,-164.0,-187.22
209337,1.0,1.46,0.44,-76.49,-124.85,-164.54
209500,1.23,-0.29,0.06,-38.01,-86.87,80.34
209512,1.13,-0.44,0.07,-40.03,-64.31,84.61
209524,1.02,-0.53,0.0,-39.17,-39.24,90.83
209536,0.86,-0.54,-0.08,-39.11,-19.43,96.87
209560,0.66,-0.74,-0.25,-35.27,-14.37,109.37
209572,0.63,-0.95,-0.27,-21.31,-24.85,115.16
209584,0.74,-1.12,-0.22,5.95,-24.0,119.18
209596,0.81,-0.99,-0.13,40.64,-10.77,122.29
209608,0.92,-0.67,0.03,53.75,6.73,134.85
209620,1.15,-0.44,0.11,58.45,29.05,154.31
209632,1.36,-0.29,0.12,70.64,52.16,173.7
209644,1.38,-0.06,0.13,85.1,65.02,191.81
209656,1.43,0.27,0.12,102.72,77.71,205.34
209668,1.65,1.04,0.23,126.32,95.45,202.66
209680,2.25,2.2,0.85,142.72,129.41,163.39
209692,2.97,3.28,1.15,179.24,181.3,112.54
209704,2.58,3.65,0.71,163.02,194.29,78.88
209716,2.15,2.93,0.3,144.61,198.19,114.12
209728,2.11,3.07,0.61,120.1,177.46,121.07
209740,1.21,3.56,0.43,87.11,165.51,133.09
209752,0.58,2.91,0.28,74.43,109.78,125.34
209764,0.32,2.31,0.32,70.28,38.87,129.73
