time,ax,ay,az,gx,gy,gz
612613,-0.5,0.77,0.02,-2.71,44.17,139.18
612625,-0.47,0.83,-0.01,-12.22,15.57,119.06
612637,-0.44,0.85,-0.04,-17.22,-10.89,98.76
612649,-0.45,0.9,-0.1,-19.29,-32.66,76.44
612673,-0.53,0.91,-0.24,-45.39,-68.63,41.13
612685,-0.54,0.85,-0.27,-54.48,-83.7,24.37
612697,-0.48,0.82,-0.26,-51.12,-94.37,4.85
612709,-0.42,0.89,-0.24,-45.51,-99.73,-13.19
612721,-0.42,0.95,-0.26,-47.1,-105.77,-28.13
612733,-0.35,1.03,-0.24,-50.09,-100.71,-48.62
612745,-0.3,0.97,-0.16,-46.79,-93.94,-58.07
612757,-0.21,0.99,-0.03,-32.59,-81.2,-83.32
612769,-0.24,1.34,0.07,10.46,-67.29,-124.84
612781,-0.29,1.93,-0.01,30.95,-61.99,-156.06
612793,-0.26,2.16,-0.12,7.53,-59.37,-170.88
612805,-0.06,1.86,-0.13,-10.88,-49.73,-191.85
612817,0.12,1.56,-0.06,3.63,-29.67,-219.66
612829,0.16,1.52,0.03,29.91,-9.24,-251.61
612841,0.14,1.61,0.11,47.11,5.94,-270.57
612853,0.12,1.67,0.15,52.9,17.52,-270.15
612865,0.15,1.63,0.15,45.58,28.93,-261.91
612877,0.23,1.52,0.13,35.28,47.71,-248.93
612889,0.27,1.38,0.15,26.25,73.32,-233.26
613051,0.16,1.0,-0.13,19.61,-197.78,-48.74
613063,0.24,1.12,-0.15,12.23,-206.32,-49.78
613075,0.36,1.21,-0.14,-1.31,-208.39,-49.35
613087,0.49,1.21,-0.12,-21.12,-203.82,-46.37
613111,0.65,1.01,-0.14,-39.78,-174.55,-39.96
613123,0.64,0.99,-0.12,-32.04,-154.98,-38.74
613135,0.57,1.06,-0.19,-14.66,-129.55,-27.34
613147,0.65,1.03,-0.06,-14.84,-114.12,-27.95
613159,0.56,1.08,-0.07,-12.4,-94.0,-0.27
613171,0.49,1.16,-0.11,-9.36,-73.45,-2.77
613183,0.44,1.25,-0.17,-0.51,-56.01,5.59
613195,0.36,1.44,-0.24,19.85,-44.18,13.88
613207,0.33,1.74,-0.21,39.36,-35.53,17.78
613219,0.41,1.98,-0.2,42.35,-28.51,31.2
613231,0.54,2.03,-0.2,35.58,-14.0,44.43
613243,0.65,1.92,-0.19,34.18,8.56,54.06
613255,0.62,1.8,-0.19,31.19,33.07,67.41
613267,0.51,1.67,-0.21,31.01,52.71,80.46
613279,0.38,1.59,-0.25,39.12,70.39,98.94
613291,0.32,1.6,-0.22,44.24,85.15,118.27
613303,0.29,1.54,-0.19,46.01,96.97,137.96
613315,0.26,1.48,-0.17,48.94,107.83,151.87
613327,0.22,1.44,-0.13,49.79,114.9,164.43
613487,-0.53,0.79,0.07,-1.98,112.34,169.79
613499,-0.57,0.76,0.02,-6.06,86.24,147.6
613511,-0.61,0.78,-0.03,-3.38,54.17,124.49
613523,-0.68,0.85,-0.1,0.1,22.95,97.48
613547,-0.75,0.97,-0.25,-12.47,-41.38,51.01
613559,-0.75,0.92,-0.32,-33.2,-65.4,30.52
613571,-0.69,0.84,-0.33,-44.36,-82.05,7.66
613583,-0.59,0.82,-0.26,-39.17,-89.49,-19.9
613595,-0.48,0.91,-0.18,-33.81,-87.23,-45.27
613607,-0.42,1.12,-0.09,-41.0,-83.7,-53.38
613619,-0.3,1.06,-0.07,-46.79,-63.21,-93.5
613631,-0.24,1.06,0.06,-32.65,-42.23,-108.44
613643,-0.3,1.37,0.09,3.27,-29.55,-160.69
613655,-0.4,1.89,-0.04,22.35,-33.33,-189.9
613667,-0.43,2.21,-0.22,16.38,-44.49,-210.76
613679,-0.27,2.16,-0.35,0.4,-50.28,-227.34
613691,-0.04,1.9,-0.29,-3.56,-42.78,-249.35
613703,0.07,1.76,-0.11,16.01,-28.76,-270.39
613715,0.04,1.74,0.09,33.94,-18.27,-287.71
