time,ax,ay,az,gx,gy,gz
450141,0.51,0.18,0.69,-7.65,-45.53,47.17
450153,0.38,0.02,0.71,-4.84,-30.04,44.79
450165,0.33,-0.05,0.7,-1.55,-20.04,40.65
450177,0.24,-0.11,0.67,4.85,-18.94,37.96
450201,0.44,-0.09,0.53,20.64,-9.61,33.15
450213,0.57,-0.05,0.49,24.79,12.77,34.43
450225,0.69,-0.01,0.4,28.57,45.76,35.4
450237,0.66,0.01,0.35,28.75,74.84,36.87
450249,0.54,-0.01,0.3,32.66,83.74,42.23
450261,0.52,-0.03,0.24,40.28,74.29,47.9
450273,0.64,-0.04,0.22,57.05,68.68,51.99
450285,0.74,0.06,0.23,72.96,73.07,53.63
450297,0.75,0.16,0.3,79.0,78.32,56.13
450309,0.79,0.15,0.37,84.97,79.17,59.73
450321,0.8,0.18,0.46,95.52,76.0,60.83
450333,0.85,0.3,0.53,103.02,71.06,65.04
450345,0.92,0.4,0.58,105.1,68.93,71.56
450357,1.04,0.4,0.55,104.55,77.1,80.89
450369,1.27,0.34,0.65,106.5,96.06,71.56
450381,1.32,0.71,1.05,132.72,92.28,52.17
450393,1.23,1.04,1.54,133.21,61.91,45.1
450405,1.48,0.96,1.38,122.9,35.51,37.96
450417,1.78,1.05,1.01,101.62,47.16,22.72
450573,0.58,0.22,0.14,107.47,104.11,89.79
450585,0.53,0.26,0.18,101.62,116.06,91.68
450597,0.43,0.22,0.24,98.69,118.68,91.32
450609,0.33,0.19,0.29,98.33,109.23,89.49
451003,0.31,0.09,0.34,15.83,-15.53,47.11
451015,0.26,0.08,0.33,16.13,-14.92,48.27
451027,0.22,0.06,0.31,14.85,-12.84,49.55
451039,0.21,0.07,0.3,13.39,-11.38,49.49
451051,0.28,0.08,0.32,11.74,-9.43,47.84
451063,0.32,0.09,0.34,13.08,-14.12,45.46
451075,0.37,0.1,0.31,14.55,-21.38,43.82
451087,0.44,0.18,0.32,12.72,-21.32,43.33
451099,0.59,0.26,0.39,5.58,-14.61,42.66
451111,0.67,0.3,0.52,12.53,-10.77,46.2
451123,0.76,0.32,0.65,23.88,-11.93,46.07
451135,0.81,0.34,0.67,34.85,-19.0,45.89
451147,0.82,0.34,0.71,47.05,-32.6,47.54
451159,0.95,0.37,0.7,53.02,-37.78,51.44
451171,1.01,0.39,0.74,56.13,-28.63,54.79
451183,0.97,0.34,0.78,57.41,-22.05,59.61
451195,1.05,0.34,0.84,65.89,-12.42,62.23
451207,1.14,0.4,0.93,70.71,1.85,63.02
451219,1.19,0.39,0.93,77.66,15.94,59.98
451231,1.21,0.39,0.97,88.94,15.63,53.63
451243,1.3,0.45,0.95,96.99,16.97,47.29
451255,1.32,0.48,0.93,102.78,24.35,41.93
451267,1.35,0.49,0.91,107.53,39.66,39.18
451279,1.42,0.55,0.86,106.99,62.4,40.65
451435,0.41,-0.07,0.44,18.14,72.28,53.09
451447,0.3,0.02,0.54,12.47,86.55,48.7
451459,0.25,0.03,0.49,4.73,95.88,40.71
451471,0.07,0.08,0.39,0.83,92.77,30.52
451483,0.11,0.13,0.3,-3.44,86.3,19.31
451507,0.2,0.36,0.21,-5.88,80.02,-14.05
451519,0.15,0.46,0.2,-2.71,74.29,-36.18
451531,0.09,0.6,0.12,3.45,59.54,-63.74
451543,0.04,0.8,-0.01,13.08,36.67,-95.33
451555,0.01,0.98,-0.15,25.64,13.07,-128.38
451567,-0.2,1.23,-0.29,35.95,-18.82,-167.1
451579,-0.32,1.38,-0.51,44.97,-50.53,-206.37
451591,-0.28,1.57,-0.83,55.22,-72.17,-242.83
451603,-0.51,1.78,-0.99,72.6,-88.94,-274.72
451615,-0.7,2.06,-0.98,93.21,-101.5,-308.87
451627,-0.84,2.28,-0.97,118.08,-109.24,-342.65
451639,-0.76,2.42,-1.13,150.64,-111.74,-375.69
451651,-0.56,2.57,-1.07,189.0,-104.92,-401.43
451663,-0.48,2.68,-0.74,232.9,-85.65,-420.21
451675,-0.39,2.8,-0.46,270.89,-45.77,-423.62
451687,-0.48,2.99,-0.24,294.79,-2.35,-415.33
451699,-0.48,3.34,-0.02,313.02,39.11,-397.04
451711,-0.14,3.89,0.22,317.66,97.1,-379.84
451872,1.79,-0.32,1.87,28.21,-93.09,-9.84
451884,2.1,-0.63,2.04,12.53,-56.38,16.01
451896,2.42,-0.83,2.07,-7.83,-48.21,38.63
451908,2.67,-0.64,2.08,-27.16,-67.29,74.73
451932,2.77,-0.11,2.26,-89.6,-48.76,157.23
451944,2.69,-0.12,2.21,-127.95,-25.4,199.31
451956,2.55,0.44,2.14,-181.12,-13.27,264.79
451968,2.26,1.05,2.22,-221.37,-21.2,315.95
451980,2.06,2.04,2.43,-258.56,-17.6,347.35
451992,1.76,3.25,2.59,-296.12,-35.77,372.17
452004,1.49,4.43,2.53,-323.26,-81.07,383.02
452016,1.12,5.11,2.19,-354.66,-147.66,398.63
452028,0.71,5.92,2.28,-382.28,-223.88,425.16
452040,0.73,6.41,1.92,-390.57,-278.51,442.41
452052,0.41,6.45,1.26,-376.06,-308.82,472.48
452064,-0.05,5.72,0.93,-328.75,-274.37,503.63
452076,-1.12,5.05,0.1,-296.31,-157.35,515.59
452088,-2.44,4.01,-1.21,-250.27,40.15,501.13
452100,-3.85,3.53,-2.26,-215.64,192.22,455.59
452112,-4.52,2.78,-3.58,-140.27,272.22,324.61
452124,-5.28,2.28,-4.39,-19.17,193.8,126.38
452136,-4.89,2.3,-4.31,106.32,51.49,-64.84
452148,-4.56,2.34,-3.61,208.63,-48.27,-226.85
452312,3.56,-0.84,2.52,51.13,-156.87,-30.33
452324,3.5,-1.81,2.44,10.64,-141.32,13.27
452336,3.62,-2.15,2.5,-33.56,-150.53,42.66
452348,3.92,-2.44,2.32,-55.82,-182.42,40.89
452372,4.12,-1.15,2.34,-149.29,-230.95,145.59
452384,3.84,-0.65,2.32,-178.62,-219.61,224.43
452396,3.49,-0.11,2.26,-184.05,-180.34,303.76
452408,3.19,0.6,2.21,-193.75,-108.57,392.96
452420,2.8,1.48,2.37,-200.03,-24.79,454.91
452432,2.34,2.62,2.49,-217.77,46.0,482.29
452444,1.92,4.1,2.58,-243.93,91.24,478.09
452456,1.36,5.35,2.33,-274.78,64.29,435.1
452468,1.0,5.54,1.36,-291.98,-39.73,385.77
452480,0.55,5.01,0.9,-269.97,-149.31,363.45
452492,-0.37,4.9,1.42,-241.06,-209.24,347.78
452504,-0.75,4.85,0.25,-200.27,-152.11,323.15
452516,-1.53,3.67,-0.71,-173.93,11.0,321.38
452528,-2.75,3.18,-1.46,-158.62,158.68,289.12
452540,-3.74,2.65,-2.34,-108.93,236.0,212.48
452552,-4.05,2.31,-2.93,-26.61,211.73,86.87
452564,-3.89,2.18,-3.04,83.94,91.18,-73.19
452576,-3.46,2.15,-2.62,180.03,-34.92,-213.44
452588,-3.02,2.27,-2.03,248.33,-90.89,-332.77
452752,3.15,-0.94,1.41,1.44,-141.32,-45.02
452765,3.15,-1.66,1.53,-11.43,-134.79,-52.52
452777,3.26,-1.86,1.31,-53.99,-158.33,-26.98
452789,3.34,-2.06,1.31,-86.86,-196.38,-7.83
452813,3.58,-2.04,1.19,-131.49,-271.99,80.28
452825,3.53,-1.82,1.25,-133.5,-286.93,153.21
452837,3.42,-1.49,1.39,-128.81,-258.57,231.5
452849,3.31,-1.09,1.5,-117.59,-200.34,305.28
452861,3.12,-0.61,1.73,-117.16,-148.7,373.02
452873,3.0,-0.01,1.94,-135.27,-121.5,427.72
452885,2.89,0.63,2.45,-163.87,-119.31,470.77
452897,3.06,1.52,3.24,-199.54,-120.04,499.85
452909,3.28,2.63,4.51,-237.34,-101.2,516.44
452921,3.69,4.36,5.5,-273.75,-81.68,492.48
452933,3.87,5.1,5.24,-321.12,-105.71,464.73
452945,3.46,4.36,5.35,-372.77,-175.65,485.95
452957,3.51,4.07,5.93,-405.94,-189.06,530.59
452969,3.21,4.47,5.85,-431.37,-88.33,551.32
452981,2.7,4.61,5.34,-448.32,2.52,562.05
452993,2.42,4.92,4.88,-484.84,50.63,569.73
453005,2.08,4.91,4.66,-513.14,75.02,551.87
453017,1.79,4.69,4.22,-539.11,101.91,512.17
453029,1.45,4.32,3.53,-573.01,115.27,486.68
453193,0.56,1.6,-4.36,-227.04,-117.96,-99.23
453205,0.67,1.68,-4.49,-162.83,-149.98,-86.12
453217,0.77,1.59,-4.47,-76.06,-144.31,-57.22
453229,0.62,1.45,-4.29,19.36,-113.51,-24.11
453253,0.26,1.53,-4.0,186.13,-80.22,16.5
453265,0.25,1.66,-3.74,257.47,-103.57,10.22
453277,0.34,1.82,-3.4,322.9,-156.01,-15.94
453289,0.46,1.99,-2.98,379.85,-211.13,-53.5
453301,0.4,2.26,-2.57,427.11,-266.99,-96.49
453313,0.57,2.51,-2.13,469.97,-298.03,-138.01
453325,0.75,2.98,-1.78,501.13,-292.17,-183.56
453337,0.78,3.59,-1.52,525.46,-275.77,-221.0
453349,0.97,4.37,-1.58,566.62,-254.43,-262.1
453361,1.1,5.07,-1.7,608.02,-226.99,-302.89
453373,0.44,5.88,-1.63,635.34,-204.92,-339.23
453385,-0.07,6.51,-1.01,685.71,-155.22,-349.78
453397,-0.09,7.58,-0.55,741.32,-53.15,-338.19
453409,0.18,8.35,-0.2,791.93,88.99,-327.1
453421,-0.04,8.59,0.24,828.08,215.51,-317.1
453433,-0.87,8.77,0.66,834.36,279.05,-294.78
453445,-1.85,9.05,0.6,791.99,261.43,-251.43
453457,-1.86,9.09,0.88,741.68,226.85,-196.18
453469,-2.36,8.57,1.8,670.89,131.06,-197.04
453634,5.23,11.89,4.43,-743.38,-791.14,-439.54
453646,6.08,12.04,3.26,-908.93,-878.51,-251.3
453658,6.12,11.19,1.8,-989.17,-960.34,-70.27
453670,5.7,10.59,0.12,-982.77,-1137.72,69.98
453694,5.03,10.2,-7.08,-588.14,-1870.34,393.76
453706,4.43,10.14,-10.5,-184.72,-2012.48,510.28
453718,3.49,10.75,-11.15,188.45,-1841.14,432.96
453730,2.19,11.5,-8.83,648.51,-1270.28,115.59
453742,-0.02,14.04,-9.2,1266.86,-624.85,-76.12
453754,0.62,16.0,-10.01,1581.5,91.3,100.04
453766,2.82,16.0,-11.26,1786.56,725.15,266.93
453778,1.5,16.0,-16.0,1962.78,1447.71,339.24
453790,-11.74,16.0,-16.0,2000.64,1209.84,-140.82
453802,-16.0,16.0,-16.0,1032.17,1110.69,543.39
453814,-16.0,16.0,-13.87,1530.16,-498.03,206.38
453826,-6.48,16.0,-13.17,1028.69,203.32,897.05
453838,-10.95,16.0,-12.84,626.62,317.58,96.01
453850,-14.44,15.01,-10.79,1053.57,-459.55,91.44
453862,-8.4,16.0,-11.6,1594.3,-59.92,575.83
453874,-5.29,16.0,-13.18,1197.66,-305.46,629.31
453886,-2.89,16.0,-9.79,1088.51,-518.64,447.05
453898,0.19,16.0,-9.93,1176.13,-523.21,-206.61
453910,0.08,16.0,-9.37,1123.45,-425.16,-432.22
454082,-0.82,0.29,1.63,-323.56,-368.94,141.26
454094,0.76,-0.19,1.08,-345.27,-99.67,-11.55
454106,0.3,0.06,0.78,-351.73,68.44,-92.95
454118,-0.28,0.61,0.79,-339.66,89.05,-143.87
454142,0.27,1.19,0.18,-319.9,-37.6,-201.98
454154,0.59,1.43,-0.13,-297.89,-78.27,-209.9
454166,1.19,1.75,-0.42,-289.9,-87.35,-196.98
454178,1.86,2.1,-0.57,-288.62,-60.53,-167.4
454190,2.0,2.43,-0.56,-308.5,-25.04,-146.61
454202,1.5,2.58,-0.5,-327.28,-21.87,-128.56
454214,0.82,2.66,-0.41,-322.83,-71.81,-99.84
454226,0.58,2.59,-0.47,-307.4,-144.18,-44.72
454238,0.4,2.34,-0.55,-293.81,-190.65,9.24
454250,0.43,2.05,-0.64,-275.03,-209.67,48.82
454262,0.8,1.91,-0.53,-270.09,-169.67,56.87
454274,0.95,1.84,-0.33,-302.47,-92.66,48.33
454286,0.41,1.87,-0.52,-338.5,-12.23,27.96
454298,-0.45,2.21,-0.6,-354.42,29.72,-0.15
454310,-1.55,2.6,-1.06,-356.79,-1.13,-37.65
454322,-2.77,3.45,-1.38,-364.9,-129.73,-84.96
454334,-2.93,4.39,-2.03,-449.9,-345.77,-61.98
454346,-1.86,4.06,-2.88,-492.71,-447.96,-19.96
454358,-1.24,4.01,-2.98,-479.36,-464.55,-25.27
454524,1.42,4.18,-1.44,203.63,281.73,-670.15
454536,1.46,3.8,-1.33,200.52,294.47,-607.59
454548,1.57,3.24,-1.19,183.63,303.19,-519.9
454560,1.59,2.58,-0.6,172.47,301.18,-422.4
454584,0.7,1.58,-0.25,170.34,155.39,-234.72
454596,0.37,1.19,-0.09,188.14,21.49,-158.19
454608,0.37,0.9,0.01,223.69,-127.35,-109.9
454620,0.52,0.83,0.32,254.06,-248.7,-73.38
454632,0.35,0.91,0.67,240.16,-343.82,-38.07
454644,0.21,0.84,0.45,201.38,-448.76,-10.02
454656,0.5,0.54,0.04,159.43,-532.48,4.43
454668,1.23,0.22,-0.32,120.89,-548.76,7.41
454680,1.97,-0.09,-0.18,81.74,-494.37,9.24
454692,2.28,-0.29,0.01,40.83,-396.62,16.81
454704,2.02,-0.47,0.09,5.71,-297.66,15.34
454716,1.62,-0.46,-0.05,1.25,-231.01,-3.32
454728,1.57,-0.22,-0.29,29.67,-191.26,-21.37
454740,1.86,-0.02,-0.04,61.86,-135.34,-25.82
454752,2.11,0.18,0.34,111.13,-56.74,-29.41
454764,1.91,0.59,0.61,186.07,24.84,-30.21
454776,1.15,1.29,0.77,230.77,82.95,11.56
454788,0.48,1.95,0.44,219.49,87.71,209.24
454800,-0.04,2.2,0.3,111.07,106.97,151.38
454962,-0.56,0.29,0.74,-28.68,-63.76,237.48
454974,-0.34,-0.11,0.74,-39.36,-69.73,232.84
454986,-0.1,-0.48,0.57,-23.93,-49.18,207.11
454998,0.23,-0.58,0.2,4.3,-2.23,145.89
455022,0.3,-0.25,0.09,48.33,112.89,156.87
455034,0.22,-0.17,0.1,24.24,145.21,128.88
455046,0.24,-0.19,0.16,13.82,150.15,128.02
455058,0.46,-0.25,0.22,34.06,142.58,120.95
455070,0.69,-0.1,0.23,64.12,135.33,107.23
455082,0.86,0.25,0.17,67.17,116.85,106.5
455094,1.18,0.57,-0.08,46.74,106.73,128.63
455106,1.53,0.81,-0.33,24.55,122.65,169.67
455118,1.7,1.12,-0.36,10.46,127.65,214.31
455130,1.63,1.55,-0.29,-2.95,109.17,246.56
455142,1.53,1.94,-0.25,-11.25,73.74,272.6
455154,1.65,2.52,-0.13,13.27,41.06,285.65
455166,2.05,3.89,0.01,24.91,38.38,276.44
455178,2.58,4.86,-0.25,-5.76,100.82,260.95
455190,2.33,4.39,-0.45,-19.42,155.63,247.23
455202,1.53,4.34,-0.7,-26.73,136.55,254.85
455214,0.95,4.46,-0.87,-28.75,87.95,278.09
455226,0.67,4.12,-0.65,-20.57,33.99,289.98
455238,0.68,3.55,-0.36,9.06,9.05,291.81
455398,-1.93,-0.07,-0.34,88.88,9.05,-155.09
455410,-1.58,0.1,-0.27,93.63,-9.24,-194.17
455422,-1.38,0.26,-0.3,92.47,-20.04,-228.13
455434,-1.25,0.4,-0.32,84.73,-26.13,-254.05
455458,-0.82,0.78,-0.32,85.77,-63.09,-297.89
455470,-0.69,1.01,-0.4,83.33,-90.22,-311.85
455482,-0.61,1.2,-0.49,72.72,-118.57,-312.1
455494,-0.52,1.35,-0.58,49.97,-137.6,-301.49
455506,-0.36,1.44,-0.52,22.53,-145.04,-281.0
455518,-0.14,1.46,-0.32,7.35,-152.78,-250.82
455530,0.05,1.62,-0.18,14.85,-163.33,-230.82
455542,0.18,2.21,-0.24,44.91,-191.32,-226.98
455554,0.25,3.27,-0.66,59.79,-217.48,-233.13
455566,0.47,3.83,-0.83,12.84,-224.12,-233.13
455578,1.38,2.96,-0.19,-23.87,-187.9,-215.27
455590,2.06,2.59,0.35,56.93,-104.85,-228.26
455602,1.59,3.35,0.43,44.0,-64.98,-227.65
455614,1.26,3.05,0.28,28.75,-41.26,-172.83
455626,1.25,2.82,-0.04,2.84,-35.83,-115.33
455638,1.23,2.57,-0.16,-17.1,-38.03,-61.98
455650,0.83,2.18,-0.04,-31.61,-51.38,-30.27
455662,0.27,1.88,0.12,-30.51,-111.07,17.05
455674,0.2,1.49,0.05,-15.76,-184.67,4.43
455838,1.1,-0.62,0.02,50.89,2.71,82.05
455850,1.09,-0.45,0.03,64.91,37.77,77.9
455862,1.07,-0.26,0.04,68.39,65.82,90.04
455874,1.05,-0.19,0.08,67.29,76.73,88.63
455886,1.07,-0.08,0.08,67.47,79.47,98.7
455898,1.19,0.03,0.04,70.71,84.35,109.06
455910,1.27,0.18,-0.02,74.12,91.3,126.93
455922,1.35,0.37,-0.06,73.14,90.88,144.18
455934,1.45,0.63,-0.13,74.73,90.27,169.0
455946,1.61,0.99,-0.22,84.97,85.69,193.09
455958,1.87,1.74,-0.15,106.62,82.1,200.77
455970,2.32,3.0,-0.02,104.43,76.43,185.77
455982,2.96,3.77,-0.02,50.46,116.24,171.74
455994,3.05,3.38,-0.04,34.49,195.15,167.66
456006,2.44,3.74,0.01,22.11,220.57,182.35
456018,1.95,4.31,-0.29,9.12,193.01,212.96
456030,1.4,4.36,-0.54,-0.57,159.66,232.41
456042,0.84,4.01,-0.67,-11.49,111.43,242.29
456054,0.44,3.51,-0.7,-17.77,56.91,257.41
456066,0.16,2.95,-0.63,-13.01,11.12,272.11
456078,-0.07,2.4,-0.56,0.58,-22.84,272.17
456090,-0.18,1.91,-0.5,14.67,-28.94,261.68
456102,-0.42,1.47,-0.33,22.35,10.76,239.43
456114,-0.69,1.11,-0.17,15.71,72.89,216.07
456273,-0.91,0.59,-0.41,80.03,-59.73,-275.51
456285,-0.75,0.73,-0.48,80.71,-97.42,-293.74
456297,-0.63,0.95,-0.54,72.72,-133.39,-296.55
456309,-0.51,1.18,-0.49,43.33,-161.44,-283.93
