time,ax,ay,az,gx,gy,gz
384211,-1.05,0.59,0.03,-32.53,83.74,100.89
384223,-1.06,0.43,-0.08,-46.25,30.57,68.39
384235,-0.96,0.33,-0.26,-39.54,-17.6,26.87
384247,-0.73,0.38,-0.31,-5.15,-56.87,-27.52
384271,-0.58,1.04,-0.49,33.57,-39.85,-142.65
384283,-0.76,1.33,-0.52,5.03,-30.4,-170.76
384295,-0.87,1.43,-0.52,-20.76,-27.78,-194.41
384307,-0.78,1.36,-0.4,-37.16,-12.42,-211.49
384319,-0.6,1.28,-0.2,-21.49,10.88,-230.21
384331,-0.54,1.41,-0.06,4.24,30.76,-259.72
384343,-0.58,1.65,-0.07,17.84,46.73,-284.96
384355,-0.48,1.67,-0.1,35.16,60.45,-290.63
384367,-0.36,1.62,-0.15,58.39,71.97,-299.84
384379,-0.37,1.77,-0.1,76.93,84.54,-305.69
384391,-0.37,2.0,-0.04,100.95,84.29,-310.88
384403,-0.34,2.23,-0.09,114.91,75.94,-303.99
384415,-0.29,2.43,-0.23,119.67,65.76,-291.43
384427,-0.18,2.62,-0.4,114.97,61.0,-279.96
384439,0.0,2.67,-0.45,100.1,66.3,-258.07
384451,0.1,2.53,-0.32,84.49,71.3,-233.19
384463,-0.03,2.37,-0.13,77.05,58.8,-203.87
384475,-0.24,2.26,0.0,77.23,14.41,-168.19
384487,-0.29,2.16,0.03,82.6,-46.81,-126.61
384650,1.28,-0.3,0.48,-20.45,-41.68,58.94
384662,1.19,-0.34,0.56,-30.15,-6.07,64.73
384674,1.06,-0.4,0.48,-34.36,8.32,74.0
384686,1.01,-0.43,0.29,-29.48,13.01,84.37
384710,0.98,-0.37,0.12,-1.73,4.35,108.57
384722,1.12,-0.28,0.18,11.68,-0.53,114.31
384734,1.26,-0.11,0.25,21.5,9.47,118.15
384746,1.33,0.11,0.29,19.79,26.24,125.89
384758,1.36,0.32,0.25,8.27,47.58,137.6
384770,1.37,0.51,0.18,-6.92,79.41,155.1
384782,1.3,0.73,0.19,-21.12,95.76,179.98
384794,1.19,1.03,0.16,-32.34,93.62,203.51
384806,1.13,1.47,0.02,-45.88,82.71,225.71
384818,1.08,2.36,0.14,-54.72,63.8,243.7
384830,0.96,4.2,0.26,-83.14,40.94,230.83
