time,ax,ay,az,gx,gy,gz
313930,-0.77,-0.04,-0.14,26.93,145.76,-17.28
313942,-0.76,-0.11,-0.14,22.66,109.9,-15.76
313954,-0.71,-0.05,-0.08,16.93,80.08,-25.51
313966,-0.69,0.17,-0.02,11.44,56.06,-38.93
313990,-0.64,0.7,-0.16,-25.64,-4.49,-70.21
314002,-0.68,0.71,-0.29,-45.33,-61.38,-83.62
314014,-0.68,0.61,-0.36,-61.0,-122.96,-91.18
314026,-0.68,0.68,-0.29,-66.31,-186.99,-90.94
314038,-0.6,1.13,-0.26,-59.72,-251.99,-92.4
314050,-0.47,1.92,-0.45,-56.61,-306.74,-92.65
314062,-0.12,2.29,-0.77,-52.89,-327.72,-92.16
314074,0.4,1.89,-0.76,-36.73,-314.92,-101.79
314086,0.73,1.74,-0.51,-34.36,-275.4,-116.0
314098,0.96,1.8,-0.11,-22.4,-215.89,-129.66
314110,1.02,1.97,0.29,0.83,-134.67,-143.01
314122,0.99,2.07,0.4,26.25,-31.44,-141.43
314134,0.94,2.07,0.14,40.1,66.0,-146.49
314146,0.79,1.85,0.26,47.84,118.5,-148.99
314158,0.79,1.86,0.09,47.9,132.28,-121.37
314170,0.62,1.72,0.12,61.62,92.77,-111.43
314182,0.56,1.47,0.2,75.28,31.06,-112.04
314194,0.57,1.29,0.26,87.35,-27.42,-106.06
314206,0.74,1.21,0.25,79.55,-64.12,-102.28
314369,0.95,-0.2,0.25,-0.15,27.65,68.51
314382,0.91,-0.16,0.18,12.11,57.28,84.98
314393,0.79,-0.02,0.14,21.38,80.69,98.39
314405,0.81,0.14,-0.03,32.17,95.45,103.88
314804,0.69,0.99,0.55,6.99,88.62,53.82
314816,0.7,0.93,0.74,25.46,29.41,29.55
314828,0.82,1.07,0.84,49.73,-21.26,21.2
314840,0.92,1.27,0.82,52.29,-35.4,19.0
314852,0.96,1.26,0.71,37.35,-22.9,25.77
314876,0.92,0.98,0.68,7.78,2.89,41.32
314888,0.76,0.8,0.65,3.21,1.49,45.16
314900,0.63,0.58,0.6,7.29,-9.61,45.89
314912,0.52,0.44,0.57,15.95,-20.46,44.79
314924,0.46,0.29,0.51,23.88,-23.21,41.74
314936,0.24,0.45,0.56,16.25,-39.31,40.95
314948,0.28,0.11,0.62,-0.88,-65.59,41.74
314960,0.51,0.19,0.7,-0.82,-59.79,35.16
314972,0.59,0.13,0.76,-22.47,-26.26,33.57
314984,0.47,-0.04,0.78,-30.15,0.33,34.0
314996,0.41,-0.11,0.69,-23.5,2.22,35.65
315008,0.45,-0.11,0.58,-16.79,2.95,39.49
315020,0.48,-0.15,0.49,-7.4,8.5,42.72
315032,0.44,-0.17,0.45,4.49,16.0,44.79
315044,0.36,-0.13,0.42,13.45,22.71,48.51
315056,0.33,-0.08,0.44,18.69,24.54,55.89
